全局序号,唯一充电站ID,充电站名称,行政区,具体地址,经度,纬度,充电桩类型,联系电话,爬取关键词,爬取时间,站平均评分,站有效评论数,充电速度（0-5分）,价格性价比（0-5分）,设施完整性（0-5分）,环境卫生（0-5分）,位置便利性（0-5分）,服务态度（0-5分）,支付便捷性（0-5分）,安全保障（0-5分）
1,站_001,国家电网汽车充电站(安徽省合肥市瑶海区明光路出租车快充站二),瑶海区,新蚌埠路80号,117.293379,31.881974,汽车服务;充电站;充电站,96529,新能源汽车充电桩,2026/1/27 20:38,3.1666666666666665,9,4.012,3.133,2.5,2.5,2.988,2.5,2.5,2.5
2,站_002,行星超级汽车充电站,瑶海区,铜陵北路1277号地面停车场,117.327482,31.904559,汽车服务;充电站;充电站,18605512596,新能源汽车充电桩,2026/1/27 20:38,1.5,2,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
3,站_003,昆仑网电汽车充电站(中国石油合肥大店充电站),瑶海区,长江东路与大众路交叉口东北角100米,117.39976,31.86951,汽车服务;充电站;充电站,95700,新能源汽车充电桩,2026/1/27 20:38,3.421052631578948,19,2.5,3.785,2.873,2.5,2.5,2.5,2.5,2.5
4,站_004,卫莱电汽车充电站(安徽迈科卫莱充电站),瑶海区,铜陵北路与天水路交口北50米(迈科物流园西北侧),117.33605,31.913118,汽车服务;充电站;充电站,4006606777,新能源汽车充电桩,2026/1/27 20:38,4.303571428571429,28,4.355,5.053,3.845,3.206,2.561,2.5,2.5,2.5
5,站_005,星星充电汽车充电站(星星充电-安徽久鑫大东门充电站),瑶海区,寿春路与胜利路交口东北角地面停车场,117.302315,31.865099,汽车服务;充电站;充电站,18856043216,新能源汽车充电桩,2026/1/27 20:38,4.652777777777778,36,5.754,3.686,2.76,2.68,3.15,2.627,2.5,2.5
6,站_006,中国石化汽车充电站(龙岗物流园充电站),瑶海区,龙岗综合经济开发区龙岗路辅路,117.374014,31.873339,汽车服务;充电站;充电站,95105888,新能源汽车充电桩,2026/1/27 20:38,4.472222222222222,18,3.345,5.523,3.64,3.403,2.828,2.5,2.5,2.5
7,站_007,国家电网汽车充电站(安徽省合肥市瑶海区少荃湖隧道东侧停车场快充站),瑶海区,文忠路合肥京东方医院东侧约230米,117.38241,31.946672,汽车服务;充电站;充电站,0551-63318110,新能源汽车充电桩,2026/1/27 20:38,3.590909090909091,33,2.286,2.585,2.577,2.583,2.658,2.5,2.5,2.5
8,站_008,中国石化汽车充电站(瑶海家具城充电站),瑶海区,瑶海家具世界(批发大市场),117.34287,31.887098,汽车服务;充电站;充电站,95105888,新能源汽车充电桩,2026/1/27 20:38,4.431818181818182,22,3.637,4.118,2.964,2.725,2.928,2.5,2.5,2.5
9,站_009,皖小能汽车充电站(淮合停车场九顶山路西侧进入),瑶海区,凤山路1号,117.302655,31.928612,汽车服务;充电站;充电站,4009961666,新能源汽车充电桩,2026/1/27 20:38,4.431818181818182,22,4.054,3.035,2.5,2.784,2.878,2.5,2.5,2.5
10,站_010,国家电网汽车充电站(安徽省合肥市瑶海区文忠路与珍珠路交口高架桥下停车场充电站),瑶海区,文忠路与珍珠路交口西南角,117.359124,31.892922,汽车服务;充电站;充电站,96529,新能源汽车充电桩,2026/1/27 20:38,3.2857142857142856,14,4.226,3.233,2.7,3.968,2.271,3.731,2.5,2.5
11,站_011,国家电网汽车充电站(安徽省合肥市瑶海区明光路出租车快充站),瑶海区,新蚌埠路80号地面停车场,117.293281,31.881858,汽车服务;充电站;充电站,0551-63881234,新能源汽车充电桩,2026/1/27 20:38,3.1666666666666665,9,4.011,3.133,2.5,2.5,2.988,2.5,2.5,2.5
12,站_012,中国石化汽车充电站(东方大道充电站),瑶海区,治淮路以东东方大道以北,117.332361,31.957166,汽车服务;充电站;充电站,95105888,新能源汽车充电桩,2026/1/27 20:38,3.138888888888889,18,2.514,2.625,3.746,2.5,3.177,2.5,2.5,2.5
13,站_013,国家电网充电站(铜陵北路生态公园),瑶海区,合肥生态公园铜陵北路停车场,117.327715,31.886836,汽车服务;充电站;充电站,96529,新能源汽车充电桩,2026/1/27 20:38,1.6538461538461535,26,2.428,3.391,2.645,2.327,2.5,2.5,2.5,2.5
14,站_014,中充服汽车充电站(安徽润升科技产业园快充站),瑶海区,三十头街道唐河路安徽润升科技产业园,117.34693,31.939625,汽车服务;充电站;充电站,18355107967,新能源汽车充电桩,2026/1/27 20:38,4.53125,16,4.107,3.089,2.5,2.5,2.5,2.876,2.5,2.5
15,站_015,特来电充电站(徽商充电1号站),瑶海区,长江东路与大众路交叉路口向东400米南侧,117.401981,31.868449,汽车服务;充电站;充电站,4001300001,新能源汽车充电桩,2026/1/27 20:38,3.9166666666666665,12,3.673,3.91,2.839,2.5,3.049,2.5,2.5,2.5
16,站_016,中国石化汽车充电站(安徽大市场充电站),瑶海区,方庙街道瑶海幼教托育中心安徽大市场,117.32382,31.879482,汽车服务;充电站;充电站,95105888,新能源汽车充电桩,2026/1/27 20:38,4.857142857142857,7,2.5,3.115,2.5,2.5,2.5,2.5,2.5,2.5
17,站_017,国家电网汽车充电站(安徽省合肥市瑶海区大兴镇东郊变停车场充电站),瑶海区,大兴镇合裕路与障山路交口东南40米,117.37958,31.836002,汽车服务;充电站;充电站,96529,新能源汽车充电桩,2026/1/27 20:38,3.571428571428572,7,1.968,3.174,2.5,2.5,3.174,2.5,2.5,2.5
18,站_018,国家电网汽车充电站(安徽省合肥市瑶海区文忠路与新海大道交口高架桥下彩色户外停车场充电站),瑶海区,彩色户外停车场(新海大道地铁站A口步行160米),117.359844,31.891664,汽车服务;充电站;充电站,96529,新能源汽车充电桩,2026/1/27 20:38,2.4166666666666665,12,2.055,3.262,2.418,0.952,3.208,2.5,2.5,2.5
19,站_019,中国石化汽车充电站(前岭路充电站),瑶海区,中国石化前岭路加油站,117.360401,31.926155,汽车服务;充电站;充电站,95105888,新能源汽车充电桩,2026/1/27 20:38,3.264705882352941,17,2.086,3.706,3.3,2.5,3.107,2.574,2.5,2.5
20,站_020,中国石化汽车充电站(站北文化广场充电站),瑶海区,七里塘街道湘灵路站北文化广场(东北角),117.32858,31.894047,汽车服务;充电站;充电站,95105888,新能源汽车充电桩,2026/1/27 20:38,3.5625,8,3.133,4.082,2.5,2.5,2.5,2.5,2.5,2.5
21,站_021,壳牌充电汽车充电站(壳牌合肥信地广场地面快充站),瑶海区,长淮街道信地城市广场信地第六空间家居生活广场立体停车库一楼,117.32132,31.878162,汽车服务;充电站;充电站,4007160699,新能源汽车充电桩,2026/1/27 20:38,3.75,12,4.84,1.809,3.315,2.5,2.297,2.5,2.5,2.5
22,站_022,星星充电汽车充电站(星星充电-蔚尔加电学林春晓超充站),瑶海区,何庄路与毕晟路交叉口西南方向学林春晓东门,117.368812,31.923453,汽车服务;充电站;充电站,17805659299,新能源汽车充电桩,2026/1/27 20:38,4.369565217391305,23,3.854,4.474,2.5,2.5,2.984,2.5,2.5,2.5
23,站_023,星星充电汽车充电站(便利充学林公园充电站),瑶海区,瑶海区工业园梦溪路学林公园,117.38508,31.899355,汽车服务;充电站;充电站,13856969022,新能源汽车充电桩,2026/1/27 20:38,4.333333333333333,9,3.004,3.553,2.5,3,3.053,2.692,2.5,2.5
24,站_024,星星充电汽车充电站(佳霖超级快充站),瑶海区,长淮街道地面停车场,117.298689,31.883854,汽车服务;充电站;充电站,13855176160,新能源汽车充电桩,2026/1/27 20:38,4.5,2,5.608,2.5,2.5,2.5,2.5,2.5,2.5,2.5
25,站_025,国家电网汽车充电站(安徽省合肥市瑶海区新安江路中石化加油站充电站),瑶海区,当涂路与新安江路交叉口,117.337305,31.863761,汽车服务;充电站;充电站,0551-63318110;96529,新能源汽车充电桩,2026/1/27 20:38,3.5,14,3.404,2.583,2.609,2.5,2.5,2.5,2.5,2.5
26,站_026,中国石化汽车充电站(少荃湖充电站),瑶海区,磨店街道中国石化少荃湖加油站,117.400635,31.940157,汽车服务;充电站;充电站,95105888,新能源汽车充电桩,2026/1/27 20:38,3.7777777777777777,9,2.5,3.358,3.706,2.5,2.5,2.5,2.5,2.5
27,站_4123,星星充电汽车充电站(便利充陶冲湖充电站),瑶海区,三十头街道大禹路陶冲湖公园(东北角),117.335994,31.933953,汽车服务;充电站;充电站,13856969022,新能源汽车充电桩,2026/1/27 20:38,4.3,29,3.524,4.06,3.535,3.731,2.806,3.27,3.902,3.941
28,站_4815,星星充电汽车充电站(佰川机械充电站),瑶海区,三十头街道佰川餐厅,117.35468,31.982738,汽车服务;充电站;充电站,13866661576,新能源汽车充电桩,2026/1/27 20:38,3.9,11,3.089,4.215,2.583,3.461,3.633,3.24,4.153,3.17
29,站_027,蔚来超充站(合肥新站区安徽巡鹰集团),瑶海区,谷河路,117.35231,31.976063,汽车服务;充电站;充电站,,新能源汽车充电桩,2026/1/27 20:38,4.166666666666667,3,1.347,2.5,2.5,2.5,2.5,2.5,2.5,2.5
30,站_7359,优充星汽车充电站(弘电e充超级充电站复兴路站),瑶海区,聚福家园幼儿园西北门西60米,117.34251,31.840992,汽车服务;充电站;充电站,13339196919,新能源汽车充电桩,2026/1/27 20:38,3.6,21,3.724,4.022,3.536,3.89,2.525,3.948,4.108,2.994
31,站_028,皖小能汽车充电站(新区文忠路高架桥下停车场皖小能快充),瑶海区,宗梅超市旁(文浍苑地铁站C口步行240米),117.366936,31.907946,汽车服务;充电站;充电站,4009961666,新能源汽车充电桩,2026/1/27 20:38,1,1,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
32,站_029,小鹏超级充电站(小鹏S4超快充合肥少荃体育中心站),瑶海区,三十头街道卧龙湖路招商奥体公园,117.35832,31.946495,汽车服务;充电站;充电站,4007836688,新能源汽车充电桩,2026/1/27 20:38,2.875,4,3.892,2.5,2.5,3.892,2.5,2.5,2.5,2.5
33,站_030,壳牌充电汽车充电站(壳牌合肥瑶海公园地面快充站),瑶海区,武里山路与瑶海西路交叉口西南50米,117.317891,31.890815,汽车服务;充电站;充电站,4007160699,新能源汽车充电桩,2026/1/27 20:38,3.076923076923077,13,3.49,2.673,3.238,3.238,3.708,2.5,2.5,2.5
34,站_031,广汽能源汽车充电站(广汽能源合肥京商商贸城H区超充站),瑶海区,京商商贸城H区地面停车场,117.34078,31.928823,汽车服务;充电站;充电站,4006665330,新能源汽车充电桩,2026/1/27 20:38,1.4705882352941178,17,2.5,2.401,2.5,2.5,2.5,2.5,2.5,2.5
35,站_032,星星充电汽车充电站(星星充电-东方商城超充站),瑶海区,明光路街道明光48号,117.308876,31.862386,汽车服务;充电站;充电站,18096698310,新能源汽车充电桩,2026/1/27 20:38,4.166666666666667,6,3.877,2.5,2.5,2.5,2.847,2.5,2.5,2.5
36,站_033,小鹏超级充电站(小鹏S4超快充合肥坝上街吾悦广场站),瑶海区,芜湖路与明光路交叉口西北角吾悦广场,117.30816,31.861034,汽车服务;充电站;充电站,4007836688,新能源汽车充电桩,2026/1/27 20:38,2.25,2,5.49,2.5,2.5,2.5,2.5,2.5,2.5,2.5
37,站_3214,来点电汽车充电站(合肥京商商贸城D区充电站),瑶海区,翠柏路京商商贸城馨之澜假日酒店旁边停车场,117.33886,31.934832,汽车服务;充电站;充电站,15639060008,新能源汽车充电桩,2026/1/27 20:38,3.6,8,3.261,4.101,3.878,3.297,2.873,3.057,2.688,3.508
38,站_034,广汽能源汽车充电站(广汽能源合肥京商商贸城K区超充站),瑶海区,三十头街道翠柏路17号京商商贸城K区,117.34766,31.924986,汽车服务;充电站;充电站,4006665330,新能源汽车充电桩,2026/1/27 20:38,1.9,20,3.2,3.935,2.5,2.658,2.5,2.5,2.5,2.5
39,站_035,国家电网汽车充电站(安徽省合肥市瑶海区大兴出租车快充站二),瑶海区,大兴镇合裕路与钢红路交口西100米地面停车场,117.379662,31.83585,汽车服务;充电站;充电站,0551-63318110;96529,新能源汽车充电桩,2026/1/27 20:38,3.388888888888889,9,3.868,2.5,2.5,2.5,2.5,2.5,2.5,2.5
40,站_036,云快充汽车充电站(科讯电驰合肥瑶海万达充电站),瑶海区,临泉东路万达广场B2层M区(M123-129M002-011),117.349642,31.876355,汽车服务;充电站;充电站,4008288517,新能源汽车充电桩,2026/1/27 20:38,2,15,1.537,3.241,2.5,2.5,2.225,2.5,2.5,2.5
41,站_037,国家电网汽车充电站(安徽省合肥市瑶海区京东方医院北侧少荃湖停车场交流充电站),瑶海区,京东方医院北侧少荃湖公园停车场,117.3781,31.947508,汽车服务;充电站;充电站,0551-63318110,新能源汽车充电桩,2026/1/27 20:38,4.285714285714286,7,2.79,2.5,3.031,2.5,2.5,2.5,2.5,2.5
42,站_038,星星充电汽车充电站(合肥市坝上街超充站),瑶海区,坝上街·尚海汇内部地下停车场,117.30507,31.864435,汽车服务;充电站;充电站,18919766777,新能源汽车充电桩,2026/1/27 20:38,1.3333333333333333,24,2.5,2.701,2.5,1.759,2.378,2.5,2.5,2.306
43,站_039,星星充电汽车充电站(合肥天茂充电站),瑶海区,天茂机械有限公司,117.31759,31.985521,汽车服务;充电站;充电站,13856969022,新能源汽车充电桩,2026/1/27 20:38,5,2,3.52,3.52,3.52,2.5,2.5,3.448,2.5,2.5
